car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,company
Hyundai Creta 1.6 CRDi SX,1516778.0,66518,Diesel,Manual,2019,1582,5,Hyundai
Hyundai Venue SX Plus Turbo DCT BSIV,1413422.0,26684,Petrol,Automatic,2019,1199,5,Hyundai
Hyundai Creta 1.6 CRDi SX,1060402.0,38280,Diesel,Manual,2015,1197,5,Hyundai
Tata Tiago 1.2 Revotron XZ,506040.0,96392,Petrol,Manual,2017,2179,7,Tata
Maruti Swift Dzire 1.2 ZXi BSIV,383892.0,92613,Petrol,Manual,2011,1498,5,Maruti
Mahindra Scorpio S7 120,1581208.0,40011,Diesel,Manual,2018,1396,5,Mahindra
Honda City i DTEC VX,715436.0,98772,Diesel,Manual,2015,1248,5,Honda
Hyundai i20 Asta 1.4 CRDi,469798.0,38931,Diesel,Manual,2013,1396,5,Hyundai
Maruti Swift LDI BSIV,573154.0,82392,Diesel,Manual,2017,2179,7,Maruti
Hyundai i20 1.4 Asta,767785.0,96805,Diesel,Manual,2017,998,5,Hyundai
Mahindra Scorpio S5 BSIV,1339597.0,68307,Diesel,Manual,2018,1197,5,Mahindra
Maruti Wagon R LXI BS IV,503355.0,30404,Petrol,Manual,2016,1248,5,Maruti
Maruti Baleno 1.2 Alpha,845637.0,36438,Petrol,Manual,2018,2179,7,Maruti
Maruti Swift VDI BSIV,504697.0,115206,Diesel,Manual,2015,1451,5,Maruti
Mahindra XUV500 W6 2WD,836241.0,104537,Diesel,Manual,2015,1995,5,Mahindra
MG Hector Sharp DCT,2165100.0,29827,Petrol,Automatic,2019,1968,5,MG
BMW 3 Series Luxury Edition,5973154.0,9200,Diesel,Automatic,2020,2755,7,BMW
Audi Q3 35 TDI Quattro Premium Plus,2348993.0,39356,Diesel,Automatic,2015,3198,7,Audi
Toyota Innova Crysta 2.8 GX AT BSIV,2114093.0,55000,Diesel,Automatic,2017,2755,7,Toyota
Ford Endeavour 3.2 Titanium AT 4X4,3859060.0,80000,Diesel,Automatic,2018,2987,5,Ford
Toyota Innova Crysta 2.8 GX AT BSIV,2610738.0,55000,Diesel,Automatic,2019,1248,5,Toyota
Mercedes-Benz S-Class S 350 CDI,9597315.0,18000,Diesel,Automatic,2017,1497,5,Mercedes-Benz
Maruti Vitara Brezza VDi AMT,1006711.0,43000,Diesel,Automatic,2018,814,5,Maruti
Hyundai Creta EX,1708724.0,1000,Petrol,Manual,2021,2143,5,Hyundai
Hyundai EON Era Plus,308724.0,67885,Petrol,Manual,2013,998,5,Hyundai
Mercedes-Benz C-Class 220 CDI AT,1845637.0,40000,Diesel,Automatic,2013,1396,5,Mercedes-Benz
Hyundai EON 1.0 Era Plus,308724.0,48421,Petrol,Manual,2013,1197,5,Hyundai
Hyundai i20 Active 1.4 S,872483.0,110000,Diesel,Manual,2018,1582,5,Hyundai
Maruti Swift Dzire VXI,570469.0,49000,Petrol,Manual,2014,1498,5,Maruti
Hyundai Verna 1.6 SX,604026.0,75000,Diesel,Manual,2013,1150,5,Hyundai
Ford Ecosport 1.5 DV5 MT Titanium,550335.0,71000,Diesel,Manual,2014,1968,5,Ford
Audi A6 35 TDI,3288590.0,68000,Diesel,Automatic,2016,1198,5,Audi
Maruti Ertiga ZDI,695302.0,94944,Diesel,Manual,2015,1493,5,Maruti
Honda Amaze S Option i-VTEC,632214.0,6357,Petrol,Manual,2017,1497,5,Honda
Hyundai Venue SX Opt Executive Diesel,1374496.0,24237,Diesel,Manual,2022,1199,5,Hyundai
Kia Seltos HTX IVT G,2214765.0,28000,Petrol,Automatic,2021,2755,7,Kia
Honda Amaze E Petrol,790604.0,10282,Petrol,Manual,2020,2982,7,Honda
Toyota Innova Crysta 2.8 ZX AT BSIV,2295302.0,111337,Diesel,Automatic,2018,1995,5,Toyota
Toyota Fortuner 4x2 Manual,1693959.0,127429,Diesel,Manual,2014,1461,5,Toyota
BMW 5 Series 520d Sport Line,5436241.0,55000,Diesel,Automatic,2018,1197,5,BMW
Nissan Sunny Diesel XL,455033.0,61034,Diesel,Manual,2015,1120,5,Nissan
Maruti Swift AMT ZXI,757046.0,76036,Petrol,Automatic,2018,1968,5,Maruti
Hyundai Grand i10 CRDi Sportz,369127.0,65000,Diesel,Manual,2014,1396,5,Hyundai
Audi Q5 30 TDI quattro Premium,1979865.0,80000,Diesel,Automatic,2015,2755,7,Audi
Hyundai Venue SX Opt Diesel BSIV,1318120.0,64104,Diesel,Manual,2019,1582,5,Hyundai
Toyota Innova Crysta 2.8 GX AT BSIV,2115436.0,116378,Diesel,Automatic,2018,998,5,Toyota
Hyundai Verna 1.6 CRDi SX,751677.0,42234,Diesel,Manual,2016,2179,7,Hyundai
Hyundai Venue SX Opt iMT,1543624.0,10000,Petrol,Manual,2021,1197,5,Hyundai
Mahindra XUV500 W6 2WD,595973.0,49812,Diesel,Manual,2013,1198,5,Mahindra
Maruti Ignis Sigma,673825.0,2294,Petrol,Manual,2022,2967,5,Maruti
Skoda Fabia 1.2 MPI Ambiente,157046.0,94679,Petrol,Manual,2010,1248,5,Skoda
Maruti Ciaz ZDi,638926.0,57122,Diesel,Manual,2014,1186,5,Maruti
Maruti Wagon R VXI BS IV,445637.0,25122,Petrol,Manual,2017,1582,5,Maruti
Hyundai Grand i10 1.2 CRDi Magna,469798.0,60000,Diesel,Manual,2017,1197,5,Hyundai
Hyundai Creta 1.6 SX Automatic Diesel,1912751.0,36000,Diesel,Automatic,2020,1396,5,Hyundai
Maruti Baleno Delta,846979.0,38736,Petrol,Manual,2020,2694,7,Maruti
Hyundai i20 Asta 1.4 CRDi,511409.0,130432,Diesel,Manual,2014,1798,5,Hyundai
Audi A6 35 TFSI Matrix,4932885.0,30000,Petrol,Automatic,2018,1086,5,Audi
Audi Q5 3.0 TDI Quattro,1335570.0,68000,Diesel,Automatic,2011,2179,7,Audi
Hyundai i10 Magna 1.1L,302013.0,38000,Petrol,Manual,2011,1197,5,Hyundai
Mahindra XUV500 R W10 FWD,1194630.0,65000,Diesel,Manual,2015,2179,7,Mahindra
Maruti Swift Dzire VXI 1.2 BS IV,872483.0,65000,Petrol,Manual,2019,1368,5,Maruti
Mahindra Scorpio S5,2127516.0,12001,Diesel,Manual,2022,1991,5,Mahindra
Jeep Compass 1.4 Sport Plus BSIV,1845637.0,23000,Petrol,Manual,2019,2967,7,Jeep
Audi Q7 45 TDI Quattro Premium Plus,2516778.0,43000,Diesel,Automatic,2014,1969,5,Audi
Honda Brio S MT,355704.0,25000,Petrol,Manual,2012,1995,4,Honda
BMW 6 Series GT 620d Luxury Line 2019-2021,8120805.0,50000,Diesel,Automatic,2020,2359,5,BMW
Mahindra KUV 100 NXT G80 K8 Dual Tone,583892.0,36000,Petrol,Manual,2017,1968,5,Mahindra
Hyundai Sonata 2.4 GDi MT,637583.0,86000,Petrol,Manual,2012,2987,7,Hyundai
Ford Figo Petrol ZXI,355704.0,68000,Petrol,Manual,2013,1950,5,Ford
BMW X1 xDrive 20d xLine,3825503.0,38500,Diesel,Automatic,2018,1493,5,BMW
Honda Amaze VX CVT Diesel,1241610.0,44500,Diesel,Automatic,2019,2494,5,Honda
Hyundai i20 Sportz Diesel,1308724.0,15500,Diesel,Manual,2022,2755,7,Hyundai
Toyota Camry 2.5 Hybrid,3154362.0,47000,Petrol,Automatic,2017,2993,5,Toyota
Toyota Fortuner 2.8 2WD AT BSIV,4496644.0,12000,Diesel,Automatic,2018,1995,5,Toyota
BMW 3 Series 320d GT Luxury Line,2483221.0,64593,Diesel,Automatic,2014,1197,5,BMW
Mercedes-Benz GLE 250d,4899328.0,64000,Diesel,Automatic,2016,2143,5,Mercedes-Benz
Renault KWID RXL,382550.0,25000,Petrol,Manual,2016,4367,5,Renault
Maruti Wagon R CNG LXI BSIV,256375.0,65000,Cng,Manual,2011,1248,7,Maruti
Honda City i VTEC VX,791946.0,70000,Petrol,Manual,2015,1998,5,Honda
Hyundai i20 Sportz 1.4 CRDi,369127.0,150000,Diesel,Manual,2013,796,5,Hyundai
BMW X4 xDrive30i M Sport Silver Shadow Edition,10000000.0,7600,Petrol,Automatic,2022,1582,5,BMW
Maruti Alto 800 LXI,412080.0,31458,Petrol,Manual,2021,998,5,Maruti
Hyundai Elantra CRDi S,704697.0,70372,Diesel,Manual,2013,2998,7,Hyundai
Maruti Wagon R LXI CNG,255033.0,129325,Cng,Manual,2012,1497,5,Maruti
Honda City V MT,1362416.0,17000,Petrol,Manual,2021,2143,5,Honda
Mercedes-Benz B Class B180 CDI,1026845.0,57000,Diesel,Automatic,2013,1498,5,Mercedes-Benz
Ford Ecosport 1.5 Diesel Titanium,1275167.0,46000,Diesel,Manual,2020,624,4,Ford
Toyota Camry Hybrid 2.5,5489932.0,20000,Petrol,Automatic,2019,1198,5,Toyota
Maruti Eeco 5 Seater AC BSIV,281879.0,18000,Petrol,Manual,2012,1198,5,Maruti
Nissan Micra Active XV,476510.0,56000,Petrol,Manual,2018,1995,5,Nissan
Volkswagen Ameo 1.2 MPI Highline,610738.0,66000,Petrol,Manual,2016,1461,5,Volkswagen
Nissan Terrano XL 85 PS,570469.0,67000,Diesel,Manual,2014,1493,7,Nissan
BMW X6 xDrive 40d M Sport,5087248.0,75000,Diesel,Automatic,2015,998,5,BMW
Mahindra TUV 300 mHAWK100 T8,865771.0,47000,Diesel,Manual,2017,1968,5,Mahindra
Hyundai Venue SX Sport iMT,1442953.0,8800,Petrol,Manual,2021,1197,5,Hyundai
Maruti Ignis Sigma,704697.0,12000,Petrol,Manual,2021,1956,5,Maruti
Hyundai Elantra SX AT,1026845.0,75000,Petrol,Automatic,2015,2143,5,Hyundai
Jeep Compass 2.0 Sport Plus BSIV,2114093.0,62000,Diesel,Manual,2019,2993,5,Jeep
Mercedes-Benz C-Class C 220 CDI Avantgarde,1597315.0,90004,Diesel,Automatic,2014,1997,7,Mercedes-Benz
Mahindra XUV500 W10 1.99 mHawk,1469798.0,47000,Diesel,Manual,2018,2494,7,Mahindra
Ford Ecosport 1.5 Diesel Titanium,637583.0,62500,Diesel,Manual,2015,1950,5,Ford
Ford Ecosport 1.5 Diesel Titanium,973154.0,49036,Diesel,Manual,2017,1595,5,Ford
Mercedes-Benz B Class B180 Sports,1731543.0,67000,Petrol,Automatic,2013,1950,5,Mercedes-Benz
Maruti Swift ZXI BSIV,591946.0,39889,Petrol,Manual,2017,2967,4,Maruti
Mercedes-Benz E-Class Exclusive E 220d,10234899.0,2000,Diesel,Automatic,2022,1498,5,Mercedes-Benz
Ford Ecosport 1.5 Diesel Titanium Plus,704697.0,43000,Diesel,Manual,2016,1196,5,Ford
Ford Figo 1.2P Titanium Plus MT,530201.0,29000,Petrol,Manual,2016,2993,4,Ford
MG Astor Sharp CVT,2315436.0,2400,Petrol,Automatic,2022,1796,5,MG
Jaguar XJ 3.0L LWB Ultimate,3073825.0,79004,Diesel,Automatic,2012,1798,5,Jaguar
Mercedes-Benz C-Class C 200 CGI Grand Edition,4899328.0,28000,Petrol,Automatic,2018,2143,5,Mercedes-Benz
Toyota Corolla Altis VL AT,1174496.0,99300,Petrol,Automatic,2015,4367,5,Toyota
Mercedes-Benz M-Class ML 250 CDI,2939597.0,80000,Diesel,Automatic,2014,2993,4,Mercedes-Benz
Land Rover Range Rover Vogue SE 4.4 SDV8,4731543.0,87002,Diesel,Automatic,2013,1968,5,Land
Audi Q5 2.0 TDI Premium Plus,1912751.0,94002,Diesel,Automatic,2013,4367,5,Audi
Audi A6 2.0 TDI Premium Plus,1912751.0,82005,Diesel,Automatic,2013,1796,5,Audi
Land Rover Range Rover Vogue SE 4.4 SDV8,5335570.0,95004,Diesel,Automatic,2013,1998,5,Land
Mercedes-Benz C-Class C 200 CGI Grand Edition,4899328.0,25000,Petrol,Automatic,2018,1498,5,Mercedes-Benz
BMW X1 sDrive20i xLine,3771812.0,68753,Petrol,Automatic,2019,1582,5,BMW
Ford Ecosport 1.5 DV5 MT Titanium,637583.0,62500,Diesel,Manual,2015,1950,5,Ford
Hyundai Creta 1.6 CRDi AT S Plus,1201342.0,85000,Diesel,Automatic,2017,1498,5,Hyundai
Mercedes-Benz C-Class Progressive C 200,6697986.0,12000,Petrol,Automatic,2021,1248,5,Mercedes-Benz
Honda WR-V i-DTEC VX,938255.0,58000,Diesel,Manual,2017,1248,5,Honda
Maruti Baleno 1.3 Zeta,832214.0,55500,Diesel,Manual,2018,1950,5,Maruti
Maruti Baleno 1.3 Zeta,838926.0,54000,Diesel,Manual,2018,1956,5,Maruti
Mercedes-Benz C-Class Progressive C 200,6429530.0,12000,Petrol,Automatic,2021,1956,5,Mercedes-Benz
Tata Harrier XM,1677852.0,32500,Diesel,Manual,2019,1086,5,Tata
Tata Harrier XM,1691275.0,33500,Diesel,Manual,2019,1997,5,Tata
Hyundai i10 Era 1.1 iTech SE,296644.0,60000,Petrol,Manual,2012,2523,7,Hyundai
Mahindra Bolero SLX 2WD BSIII,604026.0,120000,Diesel,Manual,2015,998,5,Mahindra
Maruti Vitara Brezza LDi Option,852348.0,64000,Diesel,Manual,2017,1996,7,Maruti
MG Gloster Savvy 7-Str,5322147.0,11000,Diesel,Automatic,2021,999,5,MG
Renault KWID Climber 1.0 AMT BSIV,630872.0,30000,Petrol,Automatic,2019,0,5,Renault
Volvo S90 D4 Inscription BSIV,6006711.0,20000,Diesel,Automatic,2018,1950,5,Volvo
MG ZS EV Exclusive,2832214.0,38000,Electric,Automatic,2020,1998,5,MG
Mercedes-Benz C-Class Progressive C 200,4899328.0,16500,Petrol,Automatic,2018,1950,5,Mercedes-Benz
Mini Cooper D,2536912.0,29000,Diesel,Automatic,2014,1197,5,Mini
Maruti Swift LXI,648322.0,37229,Petrol,Manual,2020,2993,5,Maruti
Honda City i DTEC VX,657718.0,100000,Diesel,Manual,2015,2179,7,Honda
BMW X5 xDrive 30d,3993288.0,85000,Diesel,Automatic,2015,1968,5,BMW
Mahindra XUV500 W6 2WD,578523.0,90928,Diesel,Manual,2013,1498,5,Mahindra
Audi A3 35 TDI Premium Plus,3463087.0,39000,Diesel,Automatic,2020,1950,5,Audi
Mercedes-Benz GLC Coupe 300d 4MATIC,9597315.0,24900,Diesel,Automatic,2021,1399,5,Mercedes-Benz
Maruti Ertiga VXI CNG,973154.0,44000,Cng,Manual,2016,1497,5,Maruti
Ford Figo Diesel Titanium,259060.0,86483,Diesel,Manual,2014,1997,5,Ford
Renault Duster Petrol RxL,771812.0,49000,Petrol,Manual,2017,1462,7,Renault
Toyota Innova Crysta 2.8 GX AT BSIV,2516778.0,26000,Diesel,Automatic,2018,4461,7,Toyota
Maruti Ertiga CNG VXI,906040.0,65000,Cng,Manual,2015,1197,5,Maruti
Toyota Glanza G,813422.0,40252,Petrol,Manual,2020,1582,5,Toyota
Maruti Swift VDI BSIV,433557.0,97947,Diesel,Manual,2014,1197,5,Maruti
Hyundai Creta 1.6 CRDi AT SX Plus,961073.0,150715,Diesel,Automatic,2015,1968,5,Hyundai
Hyundai i10 Sportz,212080.0,102820,Petrol,Manual,2010,1462,7,Hyundai
Skoda New Laura Ambiente 2.0 TDI CR AT,339597.0,109403,Diesel,Automatic,2012,1993,5,Skoda
Maruti Ertiga VXI AT,1151677.0,37377,Petrol,Automatic,2019,1197,5,Maruti
Maruti Swift Dzire VXI,492617.0,84728,Petrol,Manual,2015,1968,5,Maruti
Renault Duster 85PS Diesel RxE,434899.0,53548,Diesel,Manual,2013,1497,5,Renault
Audi A6 2.0 TDI,2173154.0,29397,Diesel,Automatic,2014,1197,5,Audi
Honda City i VTEC CVT VX,1040268.0,64000,Petrol,Automatic,2016,1997,7,Honda
Hyundai Grand i10 Asta,544966.0,30346,Petrol,Manual,2016,1248,5,Hyundai
Mahindra XUV500 W10 1.99 mHawk,1426845.0,42119,Diesel,Manual,2017,1396,5,Mahindra
Maruti Swift Dzire VDI,438926.0,120450,Diesel,Manual,2014,1198,5,Maruti
Hyundai Creta 1.4 CRDi S,1120805.0,70000,Diesel,Manual,2017,1991,4,Hyundai
Honda Amaze S i-Vtech,590604.0,59534,Petrol,Manual,2015,1373,5,Honda
Chevrolet Cruze LTZ AT,872483.0,90000,Diesel,Automatic,2016,2494,8,Chevrolet
Maruti Ciaz 1.4 Zeta,1006711.0,63001,Petrol,Manual,2017,1950,5,Maruti
Toyota Innova 2.5 VX (Diesel) 8 Seater,1812080.0,153000,Diesel,Manual,2014,1197,5,Toyota
Hyundai Grand i10 Asta Option,617449.0,60000,Petrol,Manual,2015,1968,5,Hyundai
Hyundai i20 Petrol Asta Option,1060402.0,24000,Petrol,Manual,2019,1298,5,Hyundai
Maruti Swift 1.3 VXi,429530.0,40000,Petrol,Manual,2010,999,7,Maruti
Tata Tiago 1.2 Revotron XM,409395.0,92195,Petrol,Manual,2016,1598,5,Tata
Renault Triber RXL EASY-R AMT,892617.0,13780,Petrol,Automatic,2020,1798,5,Renault
Skoda Rapid 1.6 MPI AT Ambition BSIV,1308724.0,24700,Petrol,Automatic,2019,1199,5,Skoda
Skoda Octavia 1.8 TSI AT Style,2617449.0,41000,Petrol,Automatic,2019,1582,5,Skoda
Honda Jazz V CVT,912751.0,18000,Petrol,Automatic,2017,1373,5,Honda
Hyundai Creta 1.6 CRDi AT SX Plus,1644295.0,7000,Diesel,Automatic,2016,1248,5,Hyundai
Maruti Ciaz 1.4 AT Alpha,1275167.0,39600,Petrol,Automatic,2018,1197,5,Maruti
Maruti Swift VDI BSIV,926174.0,39500,Diesel,Manual,2018,2755,7,Maruti
Maruti Swift Dzire AMT ZXI Plus,1174496.0,11800,Petrol,Automatic,2020,1969,5,Maruti
Toyota Fortuner 2.8 2WD MT BSIV,3765100.0,77000,Diesel,Manual,2017,2982,7,Toyota
Volvo S60 D4 KINETIC,2255033.0,99000,Diesel,Automatic,2017,1497,5,Volvo
Toyota Fortuner 4x2 Manual,2161073.0,177000,Diesel,Manual,2014,1497,5,Toyota
Kia Seltos HTX G,1865771.0,43000,Petrol,Manual,2019,1995,5,Kia
Mahindra XUV300 W8 Diesel BSIV,1691275.0,40000,Diesel,Manual,2019,1968,5,Mahindra
BMW X1 sDrive 20d xLine,4362416.0,65000,Diesel,Automatic,2019,1248,5,BMW
Audi A3 35 TDI Premium Plus,3463087.0,39000,Diesel,Automatic,2020,1497,7,Audi
Maruti Vitara Brezza ZDi,1315436.0,48000,Diesel,Manual,2018,1582,5,Maruti
Mahindra Marazzo M2 BSIV,1375838.0,77000,Diesel,Manual,2019,1493,7,Mahindra
Hyundai Creta 1.6 CRDi SX Plus,1375838.0,52000,Diesel,Manual,2018,1498,7,Hyundai
Mahindra TUV 300 T10,1302013.0,27000,Diesel,Manual,2018,1497,5,Mahindra
Honda BR-V i-DTEC V MT,1295302.0,47000,Diesel,Manual,2018,1498,5,Honda
Tata Nexon 1.5 Revotorq XZ Plus,1281879.0,42000,Diesel,Manual,2019,1591,5,Tata
Honda WR-V i-DTEC VX,1248322.0,42000,Diesel,Manual,2018,1598,5,Honda
Hyundai Creta 1.6 VTVT SX Plus,1201342.0,48000,Petrol,Manual,2016,1198,5,Hyundai
Maruti SX4 S Cross DDiS 320 Zeta,1147651.0,59000,Diesel,Manual,2017,1493,7,Maruti
Tata Nexon 1.2 Revotron XM,1120805.0,27000,Petrol,Manual,2019,999,7,Tata
Maruti Ertiga ZDI,993288.0,78000,Diesel,Manual,2013,1497,7,Maruti
Honda Mobilio V Option i-VTEC,812080.0,48000,Petrol,Manual,2014,1498,5,Honda
Ford Ecosport 1.0 Ecoboost Titanium Optional,791946.0,56000,Petrol,Manual,2014,1461,5,Ford
Volkswagen Vento 1.5 TDI Highline,738255.0,15000,Diesel,Manual,2013,1497,5,Volkswagen
Renault Duster 110PS Diesel RXZ Optional with Nav,758389.0,77000,Diesel,Manual,2012,2179,5,Renault
Honda City i-VTEC V,1140939.0,60000,Petrol,Manual,2018,1198,5,Honda
Honda Jazz X,523489.0,61985,Petrol,Manual,2012,1197,5,Honda
Honda Amaze V Petrol BSIV,1100671.0,19000,Petrol,Manual,2019,1199,5,Honda
Maruti Swift Dzire VXI 1.2,1006711.0,30000,Petrol,Manual,2019,1197,5,Maruti
Hyundai Grand i10 Nios Sportz,906040.0,6834,Petrol,Manual,2020,1591,5,Hyundai
Maruti Swift Dzire VXI,496644.0,112160,Petrol,Manual,2013,1462,5,Maruti
Maruti Ciaz Alpha,1328859.0,47000,Petrol,Manual,2020,1598,5,Maruti
Renault Duster 110PS Diesel RxZ,563758.0,80000,Diesel,Manual,2012,1462,5,Renault
Skoda Rapid 1.6 MPI Active BSIV,1198657.0,24000,Petrol,Manual,2020,998,5,Skoda
Maruti Ciaz Alpha Automatic BSIV,1161073.0,46000,Petrol,Automatic,2018,1197,5,Maruti
Maruti Baleno RS 1.0 Petrol,1053691.0,30000,Petrol,Manual,2017,1197,5,Maruti
Hyundai i20 Active 1.2 SX,1026845.0,30000,Petrol,Manual,2017,1396,5,Hyundai
Maruti Swift Dzire ZXI 1.2,1013422.0,31000,Petrol,Manual,2017,1248,5,Maruti
Hyundai Elite i20 2018 Diesel Asta Option,1006711.0,46000,Diesel,Manual,2018,1199,5,Hyundai
Maruti Baleno 1.3 Zeta,997315.0,44000,Diesel,Manual,2016,1498,5,Maruti
Honda Jazz V,979865.0,40000,Petrol,Manual,2019,1197,5,Honda
Honda City i DTec S,946308.0,39000,Diesel,Manual,2016,1197,5,Honda
Hyundai i20 Asta 1.2,604026.0,63759,Petrol,Manual,2013,1199,5,Hyundai
Hyundai i20 Active S Petrol,938255.0,29000,Petrol,Manual,2018,1197,5,Hyundai
Honda Jazz 1.2 SV i VTEC,932885.0,42000,Petrol,Manual,2017,1197,5,Honda
Hyundai i20 Sportz 1.2,906040.0,37000,Petrol,Manual,2017,1497,5,Hyundai
Maruti Swift VXI,906040.0,40000,Petrol,Manual,2019,1199,5,Maruti
Honda City i VTEC SV,865771.0,33000,Petrol,Manual,2014,998,5,Honda
Honda Jazz 1.2 S i VTEC,859060.0,26000,Petrol,Manual,2018,1373,5,Honda
Hyundai Venue SX Plus Turbo DCT DT,1604026.0,24000,Petrol,Automatic,2021,1497,7,Hyundai
Maruti Ciaz VXi,604026.0,156596,Petrol,Manual,2015,1798,5,Maruti
Honda BR-V i-VTEC VX MT,778523.0,98778,Petrol,Manual,2017,1197,5,Honda
Hyundai i20 1.2 Asta Option,1060402.0,26000,Petrol,Manual,2018,1197,5,Hyundai
Skoda Octavia 2.0 TDI AT Style Plus,2348993.0,60000,Diesel,Automatic,2017,1199,5,Skoda
Maruti Baleno 1.2 Zeta,751677.0,560000,Petrol,Manual,2017,1199,5,Maruti
Honda Jazz 1.2 VX i VTEC,852348.0,45000,Petrol,Manual,2017,1598,5,Honda
Tata Tiago XZA,838926.0,27000,Petrol,Automatic,2019,1798,5,Tata
Skoda Rapid 1.6 MPI AT Ambition BSIV,1154362.0,43000,Petrol,Automatic,2018,1968,5,Skoda
Toyota Corolla Altis GL MT,1328859.0,37000,Petrol,Manual,2015,1197,5,Toyota
Audi Q3 2.0 TDI Quattro Premium Plus,2671140.0,46000,Diesel,Automatic,2014,1199,5,Audi
Hyundai i10 Sportz AT,375838.0,51366,Petrol,Automatic,2011,1497,5,Hyundai
Honda Jazz 1.2 V AT i VTEC,845637.0,77331,Petrol,Automatic,2017,1984,5,Honda
Honda City i VTEC V,845637.0,77783,Petrol,Manual,2016,1493,7,Honda
Skoda Superb LK 2.0 TDI AT,3020134.0,44000,Diesel,Automatic,2016,1198,5,Skoda
Mahindra TUV 300 T10 AMT,838926.0,56276,Diesel,Automatic,2018,1248,5,Mahindra
Honda Brio V MT,389261.0,44408,Petrol,Manual,2012,999,5,Honda
Tata Manza Aqua Quadrajet,201342.0,80000,Diesel,Manual,2010,1368,5,Tata
Volkswagen Ameo 1.0 MPI Highline Plus,818791.0,20000,Petrol,Manual,2019,2198,7,Volkswagen
Jeep Compass 1.4 Limited Opt DCT,3208053.0,19000,Petrol,Automatic,2021,1462,5,Jeep
Maruti Ciaz Delta Automatic BSIV,1087248.0,28783,Petrol,Automatic,2019,1422,5,Maruti
Maruti Vitara Brezza ZDi,1308724.0,43000,Diesel,Manual,2018,1197,5,Maruti
Skoda Fabia 1.4 TDI Classic,201342.0,117500,Diesel,Manual,2010,1198,5,Skoda
Maruti Swift Dzire VXi AT,604026.0,46352,Petrol,Automatic,2012,1197,5,Maruti
Volkswagen Ameo 1.2 MPI Comfortline Plus,590604.0,84123,Petrol,Manual,2017,796,5,Volkswagen
Hyundai i20 Asta Option BSIV,1046979.0,22773,Petrol,Manual,2019,1199,5,Hyundai
Chevrolet Beat LT,234899.0,77075,Petrol,Manual,2011,999,5,Chevrolet
Renault KWID 1.0 RXT,281879.0,70000,Petrol,Manual,2016,1242,5,Renault
Mercedes-Benz GLA Class 200 d Sport,2751677.0,40000,Diesel,Automatic,2016,1197,5,Mercedes-Benz
Hyundai Grand i10 Magna,516778.0,60000,Petrol,Manual,2016,998,5,Hyundai
Maruti Alto LXi,248322.0,19521,Petrol,Manual,2008,2393,7,Maruti
Maruti Alto K10 VXI AMT,510067.0,19800,Petrol,Automatic,2017,1364,5,Maruti
Toyota Innova Crysta 2.4 G MT,2651006.0,50000,Diesel,Manual,2019,1497,5,Toyota
Toyota Etios VXD,785234.0,50000,Diesel,Manual,2012,1493,7,Toyota
Honda City i-VTEC VX,1409395.0,37000,Petrol,Manual,2019,1498,5,Honda
Honda WR-V i-DTEC S,1107382.0,10700,Diesel,Manual,2017,1197,5,Honda
Honda City i VTEC V,818791.0,31800,Petrol,Manual,2014,1199,5,Honda
Maruti Baleno 1.2 Zeta,777181.0,32400,Petrol,Manual,2016,1197,5,Maruti
Honda Amaze VX Petrol,1053691.0,4700,Petrol,Manual,2020,1248,5,Honda
Hyundai Grand i10 1.2 Kappa Sportz BSIV,704697.0,33500,Petrol,Manual,2018,1582,5,Hyundai
Maruti Swift Dzire VDI,938255.0,54800,Diesel,Manual,2018,998,5,Maruti
Hyundai Verna CRDi 1.6 EX,1072483.0,44000,Diesel,Manual,2017,1199,5,Hyundai
Maruti Wagon R VXI BS IV,557046.0,19000,Petrol,Manual,2014,1197,5,Maruti
Honda Jazz VX CVT,1059060.0,22000,Petrol,Automatic,2019,1199,5,Honda
Hyundai i20 Sportz,1053691.0,12900,Petrol,Manual,2020,998,5,Hyundai
Honda Amaze V CVT Petrol BSIV,1046979.0,22700,Petrol,Automatic,2019,1086,5,Honda
Maruti Zen Estilo VXI BSIV,253691.0,69000,Petrol,Manual,2010,1197,5,Maruti
Hyundai Santro Xing GL Plus,361073.0,60000,Petrol,Manual,2012,1497,5,Hyundai
Honda City i-VTEC SV,1315436.0,15000,Petrol,Manual,2021,2393,7,Honda
Kia Seltos HTK Plus G,1691275.0,19000,Petrol,Manual,2020,1196,5,Kia
Toyota Innova Crysta 2.4 ZX 7 STR AT,4093959.0,3500,Diesel,Automatic,2022,998,5,Toyota
Ford Figo Petrol ZXI,255033.0,81721,Petrol,Manual,2010,1196,5,Ford
Maruti Zen Estilo LXI BS IV,281879.0,109656,Petrol,Manual,2012,998,5,Maruti
Ford Figo Petrol ZXI,261744.0,87955,Petrol,Manual,2012,1197,5,Ford
Maruti Alto K10 VXI AMT,442953.0,50000,Petrol,Automatic,2015,2993,5,Maruti
BMW 5 Series 530d M Sport,4025503.0,75099,Diesel,Automatic,2014,1498,5,BMW
Mercedes-Benz GL-Class 350 CDI Luxury,1946308.0,120000,Diesel,Automatic,2010,1197,5,Mercedes-Benz
Skoda Rapid 1.5 TDI AT Elegance Black Package,798657.0,70000,Diesel,Automatic,2015,1330,5,Skoda
Hyundai i20 Asta,335570.0,90000,Petrol,Manual,2009,1591,5,Hyundai
