car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,company
Renault KWID RXL,369127.0,47000,Petrol,Manual,2018,799,5,Renault
Maruti Baleno 1.3 Sigma,738255.0,35000,Diesel,Manual,2018,1248,5,Maruti
Mercedes-Benz C-Class C 220 CDI BE COR,1308724.0,58000,Diesel,Automatic,2013,2143,5,Mercedes-Benz
Honda Amaze VX AT i-Vtech,637583.0,45000,Petrol,Automatic,2014,1198,5,Honda
Hyundai EON D Lite,255033.0,60000,Petrol,Manual,2012,814,5,Hyundai
Hyundai i20 Magna Optional 1.2,624161.0,23000,Petrol,Manual,2014,1197,5,Hyundai
Hyundai Grand i10 1.2 Kappa Era,617449.0,45000,Petrol,Manual,2019,1197,5,Hyundai
Hyundai i10 Magna 1.1L,436241.0,45000,Petrol,Manual,2014,1086,5,Hyundai
Maruti Ertiga VDI,704697.0,58000,Diesel,Manual,2013,1248,7,Maruti
Hyundai i20 1.2 Spotz,838926.0,48000,Petrol,Manual,2018,1197,5,Hyundai
Skoda Kushaq 1.0 TSI Style 6 Airbags AT,2248322.0,16000,Petrol,Automatic,2022,999,5,Skoda
MG Hector Plus Select Diesel MT 7 STR,2402684.0,36000,Diesel,Manual,2021,1956,7,MG
Jeep Compass 1.4 Limited Plus,1865771.0,35000,Petrol,Automatic,2019,1368,5,Jeep
Honda Amaze E Petrol BSIV,818791.0,64000,Petrol,Manual,2019,1199,5,Honda
Maruti Vitara Brezza VDi,1040268.0,72000,Diesel,Manual,2017,1248,5,Maruti
Hyundai Grand i10 Magna,617449.0,29900,Petrol,Manual,2015,1197,5,Hyundai
Mahindra XUV700 AX5 Diesel AT,2806711.0,20000,Diesel,Automatic,2022,2198,5,Mahindra
Tata Indigo VX BSIV,416107.0,160000,Diesel,Manual,2013,1396,5,Tata
Tata Tiago XZ Plus,758389.0,16000,Petrol,Manual,2020,1199,5,Tata
Mercedes-Benz M-Class ML 250 CDI,3825503.0,38000,Diesel,Automatic,2015,2143,5,Mercedes-Benz
Honda Jazz 1.5 SV i DTEC,738255.0,32000,Diesel,Manual,2015,1498,5,Honda
Volkswagen Polo 1.2 MPI Comfortline,604026.0,67000,Petrol,Manual,2015,1198,5,Volkswagen
Ford Ecosport 1.5 Petrol Titanium AT,906040.0,50000,Petrol,Automatic,2016,1496,5,Ford
Maruti Swift VDI BSIV,241610.0,110000,Diesel,Manual,2010,1248,5,Maruti
Hyundai Verna VTVT 1.6 AT EX,1040268.0,51000,Petrol,Automatic,2017,1591,5,Hyundai
Hyundai Grand i10 1.2 CRDi Sportz,738255.0,83000,Diesel,Manual,2017,1186,5,Hyundai
Hyundai Creta 1.6 SX Automatic Diesel,1778523.0,58000,Diesel,Automatic,2018,1582,5,Hyundai
Volkswagen Vento 1.0 TSI Highline AT,1409395.0,23500,Petrol,Automatic,2020,999,5,Volkswagen
Hyundai i20 1.2 Magna Executive,872483.0,60000,Petrol,Manual,2017,1197,5,Hyundai
Kia Seltos HTX IVT,2114093.0,20500,Petrol,Automatic,2020,1497,5,Kia
Honda Amaze S i-Vtech,604026.0,30000,Petrol,Manual,2015,1198,5,Honda
Hyundai i20 Magna 1.2,791946.0,59000,Petrol,Manual,2017,1197,5,Hyundai
BMW X1 sDrive 20d xLine,1946308.0,80000,Diesel,Automatic,2014,1995,5,BMW
Hyundai Xcent 1.2 CRDi E Plus,510067.0,50000,Diesel,Manual,2017,1186,5,Hyundai
Hyundai i10 Era 1.1 iTech SE,350335.0,120000,Petrol,Manual,2012,1086,5,Hyundai
Tata Harrier XZA Plus Kaziranga Edition AT,3020134.0,4500,Diesel,Automatic,2022,1956,5,Tata
Kia Seltos GTX Plus AT D,2651006.0,12000,Diesel,Automatic,2022,1493,5,Kia
Maruti Vitara Brezza ZDi Plus,1275167.0,37000,Diesel,Manual,2018,1248,5,Maruti
Hyundai Verna SX Opt Diesel,1947651.0,35000,Diesel,Manual,2021,1493,5,Hyundai
Hyundai Grand i10 Magna,617449.0,60000,Petrol,Manual,2016,1197,5,Hyundai
Honda Amaze VX CVT,1228187.0,10000,Petrol,Automatic,2022,1199,5,Honda
